kind	class	method	param	index	uri
FIELD	cn.jpush.api.CharacterTests	null	jpush	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url088e9d87be_jpush_jpush_java_library_tgz-pJ8-cn_jpush_example_JPushClientExampleJ8/src/cn/jpush/api/CharacterTests.java
FIELD	cn.jpush.api.FunctionTests	null	jpush	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url088e9d87be_jpush_jpush_java_library_tgz-pJ8-cn_jpush_example_JPushClientExampleJ8/src/cn/jpush/api/FunctionTests.java
FIELD	cn.jpush.api.ErrorTests	null	jpush	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url088e9d87be_jpush_jpush_java_library_tgz-pJ8-cn_jpush_example_JPushClientExampleJ8/src/cn/jpush/api/ErrorTests.java
FIELD	cn.jpush.example.JPushClientExample	null	jpush	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url088e9d87be_jpush_jpush_java_library_tgz-pJ8-cn_jpush_example_JPushClientExampleJ8/src/cn/jpush/example/JPushClientExample.java
METHOD	com.google.gson.internal.bind.CollectionTypeAdapterFactory	create(com.google.gson.Gson,com.google.gson.reflect.TypeToken)	null	null	/home/nima/
METHOD	com.google.gson.stream.JsonReader	nextLiteral(boolean)	null	null	/home/nima/
METHOD	com.google.gson.internal.bind.ObjectTypeAdapter.1	create(com.google.gson.Gson,com.google.gson.reflect.TypeToken)	null	null	/home/nima/
METHOD	com.google.gson.internal.bind.TypeAdapters.26	create(com.google.gson.Gson,com.google.gson.reflect.TypeToken)	null	null	/home/nima/
METHOD	com.google.gson.internal.bind.TypeAdapters.31	create(com.google.gson.Gson,com.google.gson.reflect.TypeToken)	null	null	/home/nima/
METHOD	cn.jpush.api.ValidateRequestParams	vidateParams(cn.jpush.api.MessageParams)	null	null	/home/nima/
METHOD	com.google.gson.internal.bind.MapTypeAdapterFactory	create(com.google.gson.Gson,com.google.gson.reflect.TypeToken)	null	null	/home/nima/
METHOD	com.google.gson.internal.bind.DateTypeAdapter.1	create(com.google.gson.Gson,com.google.gson.reflect.TypeToken)	null	null	/home/nima/
METHOD	com.google.gson.internal.bind.ArrayTypeAdapter.1	create(com.google.gson.Gson,com.google.gson.reflect.TypeToken)	null	null	/home/nima/
METHOD	com.google.gson.internal.bind.TypeAdapters.22	create(com.google.gson.Gson,com.google.gson.reflect.TypeToken)	null	null	/home/nima/
METHOD	com.google.gson.internal.bind.TypeAdapters.30	create(com.google.gson.Gson,com.google.gson.reflect.TypeToken)	null	null	/home/nima/
METHOD	com.google.gson.internal.bind.TimeTypeAdapter.1	create(com.google.gson.Gson,com.google.gson.reflect.TypeToken)	null	null	/home/nima/
METHOD	com.google.gson.internal.Excluder	create(com.google.gson.Gson,com.google.gson.reflect.TypeToken)	null	null	/home/nima/
METHOD	com.google.gson.internal.bind.SqlDateTypeAdapter.1	create(com.google.gson.Gson,com.google.gson.reflect.TypeToken)	null	null	/home/nima/
METHOD	cn.jpush.api.MessageParams	getOverrideMsgId()	null	null	/home/nima/
