enc_class	enc_method	exp	kind	class	method	param	index	uri
karlney.tetris.core.Board#$@$#Board()#$@$#karlney.tetris.core.Board.DEFAULT_COLS#$@$#FIELD	karlney.tetris.core.Board	null	DEFAULT_COLS	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url063b9533f6_karlney_tetris_ai_tgz-pJ8-karlney_tetris_cmd_TetrisGameRunnerJ8/src/karlney/tetris/core/Board.java
karlney.tetris.core.Board#$@$#Board()#$@$#karlney.tetris.core.Board.DEFAULT_ROWS#$@$#FIELD	karlney.tetris.core.Board	null	DEFAULT_ROWS	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url063b9533f6_karlney_tetris_ai_tgz-pJ8-karlney_tetris_cmd_TetrisGameRunnerJ8/src/karlney/tetris/core/Board.java
karlney.tetris.core.Board#$@$#Board(int,int)#$@$#this.cols#$@$#FIELD	karlney.tetris.core.Board	null	cols	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url063b9533f6_karlney_tetris_ai_tgz-pJ8-karlney_tetris_cmd_TetrisGameRunnerJ8/src/karlney/tetris/core/Board.java
karlney.tetris.core.Board#$@$#Board(int,int)#$@$#this#$@$#FIELD	karlney.tetris.core.Board	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url063b9533f6_karlney_tetris_ai_tgz-pJ8-karlney_tetris_cmd_TetrisGameRunnerJ8/src/karlney/tetris/core/Board.java
karlney.tetris.core.Board#$@$#Board(int,int)#$@$#cols#$@$#PARAMETER	karlney.tetris.core.Board	Board(int,int)	cols	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url063b9533f6_karlney_tetris_ai_tgz-pJ8-karlney_tetris_cmd_TetrisGameRunnerJ8/src/karlney/tetris/core/Board.java
karlney.tetris.core.Board#$@$#Board(int,int)#$@$#this.rows#$@$#FIELD	karlney.tetris.core.Board	null	rows	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url063b9533f6_karlney_tetris_ai_tgz-pJ8-karlney_tetris_cmd_TetrisGameRunnerJ8/src/karlney/tetris/core/Board.java
karlney.tetris.core.Board#$@$#Board(int,int)#$@$#this#$@$#FIELD	karlney.tetris.core.Board	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url063b9533f6_karlney_tetris_ai_tgz-pJ8-karlney_tetris_cmd_TetrisGameRunnerJ8/src/karlney/tetris/core/Board.java
karlney.tetris.core.Board#$@$#Board(int,int)#$@$#rows#$@$#PARAMETER	karlney.tetris.core.Board	Board(int,int)	rows	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url063b9533f6_karlney_tetris_ai_tgz-pJ8-karlney_tetris_cmd_TetrisGameRunnerJ8/src/karlney/tetris/core/Board.java
karlney.tetris.core.Board#$@$#Board(int,int)#$@$#board#$@$#FIELD	karlney.tetris.core.Board	null	board	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url063b9533f6_karlney_tetris_ai_tgz-pJ8-karlney_tetris_cmd_TetrisGameRunnerJ8/src/karlney/tetris/core/Board.java
karlney.tetris.core.Board#$@$#Board(int,int)#$@$#cols#$@$#PARAMETER	karlney.tetris.core.Board	Board(int,int)	cols	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url063b9533f6_karlney_tetris_ai_tgz-pJ8-karlney_tetris_cmd_TetrisGameRunnerJ8/src/karlney/tetris/core/Board.java
