enc_class	enc_method	exp	kind	class	method	param	index	uri
Main#$@$#main(java.lang.String[])#$@$#System.out.println#$@$#METHOD	java.io.PrintStream	println(java.lang.String)	null	null	null
Main#$@$#main(java.lang.String[])#$@$#java.lang.System.out#$@$#FIELD	java.lang.System	null	out	null	null
Main#$@$#main(java.lang.String[])#$@$#backend.Register.r[15].b#$@$#FIELD	backend.Register_spec	null	b	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Register_spec.java
Main#$@$#main(java.lang.String[])#$@$#backend.Register.r#$@$#FIELD	backend.Register	null	r	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Register.java
Main#$@$#main(java.lang.String[])#$@$#backend.ScanFile.endOfProgram#$@$#FIELD	backend.ScanFile	null	endOfProgram	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
Main#$@$#main(java.lang.String[])#$@$#e.createHash#$@$#METHOD	backend.Emit	createHash()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Emit.java
backend.Register_spec#$@$#Register_spec()#$@$#b#$@$#FIELD	backend.Register_spec	null	b	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Register_spec.java
backend.Register_spec#$@$#storeValue(int)#$@$#b#$@$#FIELD	backend.Register_spec	null	b	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Register_spec.java
backend.Register_spec#$@$#storeValue(int)#$@$#d#$@$#PARAMETER	backend.Register_spec	storeValue(int)	d	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Register_spec.java
backend.Register_spec#$@$#value()#$@$#b#$@$#FIELD	backend.Register_spec	null	b	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Register_spec.java
backend.Register_spec#$@$#firstByteValue()#$@$#b#$@$#FIELD	backend.Register_spec	null	b	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Register_spec.java
backend.Register_spec#$@$#first5bitValue()#$@$#b#$@$#FIELD	backend.Register_spec	null	b	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Register_spec.java
backend.Register_spec#$@$#sign()#$@$#b#$@$#FIELD	backend.Register_spec	null	b	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Register_spec.java
backend.Memory#$@$#Memory()#$@$#backend.Memory.memory#$@$#FIELD	backend.Memory	null	memory	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Memory.java
backend.Memory#$@$#Memory()#$@$#backend.Memory.memory#$@$#FIELD	backend.Memory	null	memory	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Memory.java
backend.Memory#$@$#Memory()#$@$#backend.Memory.n#$@$#FIELD	backend.Memory	null	n	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Memory.java
backend.Memory#$@$#get(int)#$@$#memory.get#$@$#METHOD	java.util.HashMap	get(java.lang.Object)	null	null	null
backend.Memory#$@$#get(int)#$@$#backend.Memory.memory#$@$#FIELD	backend.Memory	null	memory	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Memory.java
