enc_class	enc_method	exp	kind	class	method	param	index	uri
hugo.project.hospital.NeedleDevice#$@$#NeedleDevice(int)#$@$#initialAmount#$@$#PARAMETER	hugo.project.hospital.NeedleDevice	NeedleDevice(int)	initialAmount	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/NeedleDevice.java
hugo.project.hospital.Device#$@$#Device(java.lang.String,int)#$@$#this.type#$@$#FIELD	hugo.project.hospital.Device	null	type	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Device.java
hugo.project.hospital.Device#$@$#Device(java.lang.String,int)#$@$#this#$@$#FIELD	hugo.project.hospital.Device	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Device.java
hugo.project.hospital.Device#$@$#Device(java.lang.String,int)#$@$#type#$@$#PARAMETER	hugo.project.hospital.Device	Device(java.lang.String,int)	type	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Device.java
hugo.project.hospital.Device#$@$#Device(java.lang.String,int)#$@$#this.amount#$@$#FIELD	hugo.project.hospital.Device	null	amount	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Device.java
hugo.project.hospital.Device#$@$#Device(java.lang.String,int)#$@$#this#$@$#FIELD	hugo.project.hospital.Device	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Device.java
hugo.project.hospital.Device#$@$#Device(java.lang.String,int)#$@$#initialAmount#$@$#PARAMETER	hugo.project.hospital.Device	Device(java.lang.String,int)	initialAmount	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Device.java
hugo.project.hospital.Device#$@$#reduceAmount(int)#$@$#reduceNum#$@$#PARAMETER	hugo.project.hospital.Device	reduceAmount(int)	reduceNum	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Device.java
hugo.project.hospital.Device#$@$#reduceAmount(int)#$@$#reduceNum#$@$#PARAMETER	hugo.project.hospital.Device	reduceAmount(int)	reduceNum	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Device.java
hugo.project.hospital.Device#$@$#reduceAmount(int)#$@$#amount#$@$#FIELD	hugo.project.hospital.Device	null	amount	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Device.java
hugo.project.hospital.Device#$@$#reduceAmount(int)#$@$#amount#$@$#FIELD	hugo.project.hospital.Device	null	amount	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Device.java
