kind	class	method	param	index	uri
METHOD	com.mpos.lottery.te.config.exception.SystemException	getMetaData()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url2bc31e3489_ramonli_RabbitMQResearch_tgz-pJ8-com_mpos_lottery_te_thirdpartyservice_amqp_protobuf_CancellationMessagePulisherJ8/src/com/mpos/lottery/te/config/exception/SystemException.java
METHOD	com.mpos.lottery.te.config.exception.TeException	getMetaData()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url2bc31e3489_ramonli_RabbitMQResearch_tgz-pJ8-com_mpos_lottery_te_thirdpartyservice_amqp_protobuf_CancellationMessagePulisherJ8/src/com/mpos/lottery/te/config/exception/TeException.java
METHOD	com.mpos.lottery.te.thirdpartyservice.amqp.MessageContext	getChannel()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url2bc31e3489_ramonli_RabbitMQResearch_tgz-pJ8-com_mpos_lottery_te_thirdpartyservice_amqp_protobuf_CancellationMessagePulisherJ8/src/com/mpos/lottery/te/thirdpartyservice/amqp/MessageContext.java
METHOD	com.mpos.lottery.te.thirdpartyservice.amqp.MessageContext	getProperty(java.lang.Object)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url2bc31e3489_ramonli_RabbitMQResearch_tgz-pJ8-com_mpos_lottery_te_thirdpartyservice_amqp_protobuf_CancellationMessagePulisherJ8/src/com/mpos/lottery/te/thirdpartyservice/amqp/MessageContext.java
METHOD	com.mpos.lottery.te.thirdpartyservice.amqp.TeTransactionMessage$VersionOrBuilder	getValueBytes()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url2bc31e3489_ramonli_RabbitMQResearch_tgz-pJ8-com_mpos_lottery_te_thirdpartyservice_amqp_protobuf_CancellationMessagePulisherJ8/src/com/mpos/lottery/te/thirdpartyservice/amqp/TeTransactionMessage.java
METHOD	com.mpos.lottery.te.thirdpartyservice.amqp.TeTransactionMessage$Version	getDescriptor()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url2bc31e3489_ramonli_RabbitMQResearch_tgz-pJ8-com_mpos_lottery_te_thirdpartyservice_amqp_protobuf_CancellationMessagePulisherJ8/src/com/mpos/lottery/te/thirdpartyservice/amqp/TeTransactionMessage.java
METHOD	com.mpos.lottery.te.thirdpartyservice.amqp.TeTransactionMessage$Version	getValueBytes()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url2bc31e3489_ramonli_RabbitMQResearch_tgz-pJ8-com_mpos_lottery_te_thirdpartyservice_amqp_protobuf_CancellationMessagePulisherJ8/src/com/mpos/lottery/te/thirdpartyservice/amqp/TeTransactionMessage.java
METHOD	com.mpos.lottery.te.thirdpartyservice.amqp.TeTransactionMessage$Version$Builder	getDescriptor()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url2bc31e3489_ramonli_RabbitMQResearch_tgz-pJ8-com_mpos_lottery_te_thirdpartyservice_amqp_protobuf_CancellationMessagePulisherJ8/src/com/mpos/lottery/te/thirdpartyservice/amqp/TeTransactionMessage.java
METHOD	com.mpos.lottery.te.thirdpartyservice.amqp.TeTransactionMessage$Version$Builder	getDescriptorForType()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url2bc31e3489_ramonli_RabbitMQResearch_tgz-pJ8-com_mpos_lottery_te_thirdpartyservice_amqp_protobuf_CancellationMessagePulisherJ8/src/com/mpos/lottery/te/thirdpartyservice/amqp/TeTransactionMessage.java
METHOD	com.mpos.lottery.te.thirdpartyservice.amqp.TeTransactionMessage$Version$Builder	getValueBytes()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url2bc31e3489_ramonli_RabbitMQResearch_tgz-pJ8-com_mpos_lottery_te_thirdpartyservice_amqp_protobuf_CancellationMessagePulisherJ8/src/com/mpos/lottery/te/thirdpartyservice/amqp/TeTransactionMessage.java
METHOD	com.mpos.lottery.te.thirdpartyservice.amqp.TeTransactionMessage$TransactionOrBuilder	getIdBytes()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url2bc31e3489_ramonli_RabbitMQResearch_tgz-pJ8-com_mpos_lottery_te_thirdpartyservice_amqp_protobuf_CancellationMessagePulisherJ8/src/com/mpos/lottery/te/thirdpartyservice/amqp/TeTransactionMessage.java
METHOD	com.mpos.lottery.te.thirdpartyservice.amqp.TeTransactionMessage$TransactionOrBuilder	getDevIdBytes()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url2bc31e3489_ramonli_RabbitMQResearch_tgz-pJ8-com_mpos_lottery_te_thirdpartyservice_amqp_protobuf_CancellationMessagePulisherJ8/src/com/mpos/lottery/te/thirdpartyservice/amqp/TeTransactionMessage.java
METHOD	com.mpos.lottery.te.thirdpartyservice.amqp.TeTransactionMessage$TransactionOrBuilder	getOperatorIdBytes()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url2bc31e3489_ramonli_RabbitMQResearch_tgz-pJ8-com_mpos_lottery_te_thirdpartyservice_amqp_protobuf_CancellationMessagePulisherJ8/src/com/mpos/lottery/te/thirdpartyservice/amqp/TeTransactionMessage.java
METHOD	com.mpos.lottery.te.thirdpartyservice.amqp.TeTransactionMessage$TransactionOrBuilder	getMerchantIdBytes()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url2bc31e3489_ramonli_RabbitMQResearch_tgz-pJ8-com_mpos_lottery_te_thirdpartyservice_amqp_protobuf_CancellationMessagePulisherJ8/src/com/mpos/lottery/te/thirdpartyservice/amqp/TeTransactionMessage.java
METHOD	com.mpos.lottery.te.thirdpartyservice.amqp.TeTransactionMessage$Transaction	getDescriptor()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url2bc31e3489_ramonli_RabbitMQResearch_tgz-pJ8-com_mpos_lottery_te_thirdpartyservice_amqp_protobuf_CancellationMessagePulisherJ8/src/com/mpos/lottery/te/thirdpartyservice/amqp/TeTransactionMessage.java
METHOD	com.mpos.lottery.te.thirdpartyservice.amqp.TeTransactionMessage$Transaction	getIdBytes()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url2bc31e3489_ramonli_RabbitMQResearch_tgz-pJ8-com_mpos_lottery_te_thirdpartyservice_amqp_protobuf_CancellationMessagePulisherJ8/src/com/mpos/lottery/te/thirdpartyservice/amqp/TeTransactionMessage.java
METHOD	com.mpos.lottery.te.thirdpartyservice.amqp.TeTransactionMessage$Transaction	getDevIdBytes()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url2bc31e3489_ramonli_RabbitMQResearch_tgz-pJ8-com_mpos_lottery_te_thirdpartyservice_amqp_protobuf_CancellationMessagePulisherJ8/src/com/mpos/lottery/te/thirdpartyservice/amqp/TeTransactionMessage.java
METHOD	com.mpos.lottery.te.thirdpartyservice.amqp.TeTransactionMessage$Transaction	getOperatorIdBytes()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url2bc31e3489_ramonli_RabbitMQResearch_tgz-pJ8-com_mpos_lottery_te_thirdpartyservice_amqp_protobuf_CancellationMessagePulisherJ8/src/com/mpos/lottery/te/thirdpartyservice/amqp/TeTransactionMessage.java
METHOD	com.mpos.lottery.te.thirdpartyservice.amqp.TeTransactionMessage$Transaction	getMerchantIdBytes()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url2bc31e3489_ramonli_RabbitMQResearch_tgz-pJ8-com_mpos_lottery_te_thirdpartyservice_amqp_protobuf_CancellationMessagePulisherJ8/src/com/mpos/lottery/te/thirdpartyservice/amqp/TeTransactionMessage.java
PARAMETER	com.mpos.lottery.te.thirdpartyservice.amqp.TeTransactionMessage$Transaction	newBuilder(com.mpos.lottery.te.thirdpartyservice.amqp.TeTransactionMessage.Transaction)	prototype	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url2bc31e3489_ramonli_RabbitMQResearch_tgz-pJ8-com_mpos_lottery_te_thirdpartyservice_amqp_protobuf_CancellationMessagePulisherJ8/src/com/mpos/lottery/te/thirdpartyservice/amqp/TeTransactionMessage.java
METHOD	com.mpos.lottery.te.thirdpartyservice.amqp.TeTransactionMessage$Transaction$Builder	getDescriptor()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url2bc31e3489_ramonli_RabbitMQResearch_tgz-pJ8-com_mpos_lottery_te_thirdpartyservice_amqp_protobuf_CancellationMessagePulisherJ8/src/com/mpos/lottery/te/thirdpartyservice/amqp/TeTransactionMessage.java
METHOD	com.mpos.lottery.te.thirdpartyservice.amqp.TeTransactionMessage$Transaction$Builder	getDescriptorForType()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url2bc31e3489_ramonli_RabbitMQResearch_tgz-pJ8-com_mpos_lottery_te_thirdpartyservice_amqp_protobuf_CancellationMessagePulisherJ8/src/com/mpos/lottery/te/thirdpartyservice/amqp/TeTransactionMessage.java
PARAMETER	com.mpos.lottery.te.thirdpartyservice.amqp.TeTransactionMessage$Transaction$Builder	mergeFrom(com.mpos.lottery.te.thirdpartyservice.amqp.TeTransactionMessage.Transaction)	other	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url2bc31e3489_ramonli_RabbitMQResearch_tgz-pJ8-com_mpos_lottery_te_thirdpartyservice_amqp_protobuf_CancellationMessagePulisherJ8/src/com/mpos/lottery/te/thirdpartyservice/amqp/TeTransactionMessage.java
