kind	class	method	param	index	uri
PARAMETER	Carousel	Carousel(com.github.nkzawa.socketio.client.Socket,java.lang.String,java.lang.String)	playerID	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8/src/Carousel.java
PARAMETER	Carousel	Carousel(com.github.nkzawa.socketio.client.Socket,java.lang.String,java.lang.String)	messageID	2	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8/src/Carousel.java
PARAMETER	com.github.nkzawa.socketio.client.Socket	emit(java.lang.String,java.lang.Object[])	args	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8/src/com/github/nkzawa/socketio/client/Socket.java
PARAMETER	com.github.nkzawa.socketio.client.Socket	onclose(java.lang.String)	reason	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8/src/com/github/nkzawa/socketio/client/Socket.java
PARAMETER	com.github.nkzawa.socketio.client.Socket	toArray(org.json.JSONArray)	array	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8/src/com/github/nkzawa/socketio/client/Socket.java
PARAMETER	com.github.nkzawa.emitter.Emitter	emit(java.lang.String,java.lang.Object[])	args	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8/src/com/github/nkzawa/emitter/Emitter.java
PARAMETER	com.github.nkzawa.socketio.client.Manager	Manager(java.net.URI,com.github.nkzawa.socketio.client.Manager.Options)	uri	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8/src/com/github/nkzawa/socketio/client/Manager.java
PARAMETER	com.github.nkzawa.socketio.client.Manager	Manager(java.net.URI,com.github.nkzawa.socketio.client.Manager.Options)	opts	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8/src/com/github/nkzawa/socketio/client/Manager.java
PARAMETER	com.github.nkzawa.socketio.client.Manager	emitAll(java.lang.String,java.lang.Object[])	args	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8/src/com/github/nkzawa/socketio/client/Manager.java
PARAMETER	com.github.nkzawa.socketio.client.Manager	open(com.github.nkzawa.socketio.client.Manager.OpenCallback)	fn	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8/src/com/github/nkzawa/socketio/client/Manager.java
PARAMETER	com.github.nkzawa.socketio.client.Manager$OpenCallback	call(java.lang.Exception)	err	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8/src/com/github/nkzawa/socketio/client/Manager.java
PARAMETER	com.github.nkzawa.socketio.client.Manager$Engine	Engine(java.net.URI,com.github.nkzawa.engineio.client.Socket.Options)	uri	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8/src/com/github/nkzawa/socketio/client/Manager.java
PARAMETER	com.github.nkzawa.socketio.client.On	on(com.github.nkzawa.emitter.Emitter,java.lang.String,com.github.nkzawa.emitter.Emitter.Listener)	obj	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8/src/com/github/nkzawa/socketio/client/On.java
