kind	class	method	param	index	uri
PARAMETER	gui.DialogNewMap	DialogNewMap(java.awt.Frame,boolean,boolean)	parent	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8012c8d031_dmbb966_BBMS_tgz-pJ8-testbed_JNEATtestJ8/src/gui/DialogNewMap.java
PARAMETER	gui.DialogFileName	DialogFileName(java.awt.Frame,boolean,java.lang.String)	parent	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8012c8d031_dmbb966_BBMS_tgz-pJ8-testbed_JNEATtestJ8/src/gui/DialogFileName.java
PARAMETER	gui.DialogTestPop	DialogTestPop(java.awt.Frame,boolean)	parent	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8012c8d031_dmbb966_BBMS_tgz-pJ8-testbed_JNEATtestJ8/src/gui/DialogTestPop.java
FIELD	hex.Hex	null	HexUnit	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8012c8d031_dmbb966_BBMS_tgz-pJ8-testbed_JNEATtestJ8/src/hex/Hex.java
PARAMETER	terrain.TerrainEnum	TerrainEnum(int,java.lang.String,java.lang.String,terrain.TerrainType)	fg	2	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8012c8d031_dmbb966_BBMS_tgz-pJ8-testbed_JNEATtestJ8/src/terrain/TerrainEnum.java
FIELD	unit.Unit	null	org	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8012c8d031_dmbb966_BBMS_tgz-pJ8-testbed_JNEATtestJ8/src/unit/Unit.java
PARAMETER	unit.Unit	Unit(hex.Hex,unit.SideEnum,java.lang.String,java.lang.String,double,double,unit.WaypointList,boolean)	wpL	6	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8012c8d031_dmbb966_BBMS_tgz-pJ8-testbed_JNEATtestJ8/src/unit/Unit.java
PARAMETER	unit.Unit	GetLOSToRange(hex.Hex,int)	origin	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8012c8d031_dmbb966_BBMS_tgz-pJ8-testbed_JNEATtestJ8/src/unit/Unit.java
PARAMETER	unit.Unit	TeleportTo(hex.Hex)	h	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8012c8d031_dmbb966_BBMS_tgz-pJ8-testbed_JNEATtestJ8/src/unit/Unit.java
PARAMETER	unit.OrganismTypeEnum	SenseFlowFOV(hex.Hex,unit.FitnessTypeEnum)	origin	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8012c8d031_dmbb966_BBMS_tgz-pJ8-testbed_JNEATtestJ8/src/unit/OrganismTypeEnum.java
FIELD	jneat.Network	null	genotype	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8012c8d031_dmbb966_BBMS_tgz-pJ8-testbed_JNEATtestJ8/src/jneat/Network.java
PARAMETER	jneat.Network	Network(java.util.Vector,java.util.Vector,int)	in	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8012c8d031_dmbb966_BBMS_tgz-pJ8-testbed_JNEATtestJ8/src/jneat/Network.java
PARAMETER	jneat.Network	Network(java.util.Vector,java.util.Vector,int)	out	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8012c8d031_dmbb966_BBMS_tgz-pJ8-testbed_JNEATtestJ8/src/jneat/Network.java
PARAMETER	jneat.Network	Network(java.util.Vector,java.util.Vector)	in	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8012c8d031_dmbb966_BBMS_tgz-pJ8-testbed_JNEATtestJ8/src/jneat/Network.java
PARAMETER	jneat.Network	Network(java.util.Vector,java.util.Vector)	out	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8012c8d031_dmbb966_BBMS_tgz-pJ8-testbed_JNEATtestJ8/src/jneat/Network.java
PARAMETER	jneat.Network	IsRecurrent(jneat.NNode,jneat.NNode,int,int)	pIn	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8012c8d031_dmbb966_BBMS_tgz-pJ8-testbed_JNEATtestJ8/src/jneat/Network.java
PARAMETER	jneat.Network	IsRecurrent(jneat.NNode,jneat.NNode,int,int)	pOut	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8012c8d031_dmbb966_BBMS_tgz-pJ8-testbed_JNEATtestJ8/src/jneat/Network.java
PARAMETER	jneat.Network	HasPath(jneat.NNode,jneat.NNode,int,int)	pIn	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8012c8d031_dmbb966_BBMS_tgz-pJ8-testbed_JNEATtestJ8/src/jneat/Network.java
PARAMETER	jneat.Network	HasPath(jneat.NNode,jneat.NNode,int,int)	pOut	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8012c8d031_dmbb966_BBMS_tgz-pJ8-testbed_JNEATtestJ8/src/jneat/Network.java
PARAMETER	jneat.Genome	AverageGenes(jneat.Gene,jneat.Gene)	geneA	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8012c8d031_dmbb966_BBMS_tgz-pJ8-testbed_JNEATtestJ8/src/jneat/Genome.java
PARAMETER	jneat.Genome	AverageGenes(jneat.Gene,jneat.Gene)	geneB	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8012c8d031_dmbb966_BBMS_tgz-pJ8-testbed_JNEATtestJ8/src/jneat/Genome.java
