kind	class	method	param	index	uri
PARAMETER	org.washcom.util.Deck	put(java.util.List)	cards	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9512d8fa89_bdkosher_card_games_tgz-pJ8-org_washcom_cardgames_battleroyale_BattleRoyaleGameSimulatorJ8/src/org/washcom/util/Deck.java
PARAMETER	org.washcom.util.Deck	put(java.util.List,boolean)	cards	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9512d8fa89_bdkosher_card_games_tgz-pJ8-org_washcom_cardgames_battleroyale_BattleRoyaleGameSimulatorJ8/src/org/washcom/util/Deck.java
PARAMETER	org.washcom.cardgames.core.Card	equals(java.lang.Object)	obj	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9512d8fa89_bdkosher_card_games_tgz-pJ8-org_washcom_cardgames_battleroyale_BattleRoyaleGameSimulatorJ8/src/org/washcom/cardgames/core/Card.java
PARAMETER	org.washcom.cardgames.core.Player	equals(java.lang.Object)	obj	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9512d8fa89_bdkosher_card_games_tgz-pJ8-org_washcom_cardgames_battleroyale_BattleRoyaleGameSimulatorJ8/src/org/washcom/cardgames/core/Player.java
PARAMETER	org.washcom.cardgames.core.DeckDealer	dealEntirely(org.washcom.cardgames.core.Deck,P[])	deck	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9512d8fa89_bdkosher_card_games_tgz-pJ8-org_washcom_cardgames_battleroyale_BattleRoyaleGameSimulatorJ8/src/org/washcom/cardgames/core/DeckDealer.java
PARAMETER	org.washcom.cardgames.core.DeckDealer	dealEntirely(org.washcom.cardgames.core.Deck,P[])	players	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9512d8fa89_bdkosher_card_games_tgz-pJ8-org_washcom_cardgames_battleroyale_BattleRoyaleGameSimulatorJ8/src/org/washcom/cardgames/core/DeckDealer.java
PARAMETER	org.washcom.cardgames.core.DeckDealer	dealEntirely(org.washcom.cardgames.core.Deck,java.util.Collection)	deck	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9512d8fa89_bdkosher_card_games_tgz-pJ8-org_washcom_cardgames_battleroyale_BattleRoyaleGameSimulatorJ8/src/org/washcom/cardgames/core/DeckDealer.java
PARAMETER	org.washcom.cardgames.core.DeckDealer	dealEntirely(org.washcom.cardgames.core.Deck,java.util.Collection)	players	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9512d8fa89_bdkosher_card_games_tgz-pJ8-org_washcom_cardgames_battleroyale_BattleRoyaleGameSimulatorJ8/src/org/washcom/cardgames/core/DeckDealer.java
PARAMETER	org.washcom.cardgames.core.DeckDealer	dealFairly(org.washcom.cardgames.core.Deck,P[])	deck	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9512d8fa89_bdkosher_card_games_tgz-pJ8-org_washcom_cardgames_battleroyale_BattleRoyaleGameSimulatorJ8/src/org/washcom/cardgames/core/DeckDealer.java
PARAMETER	org.washcom.cardgames.core.DeckDealer	dealFairly(org.washcom.cardgames.core.Deck,P[])	players	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9512d8fa89_bdkosher_card_games_tgz-pJ8-org_washcom_cardgames_battleroyale_BattleRoyaleGameSimulatorJ8/src/org/washcom/cardgames/core/DeckDealer.java
PARAMETER	org.washcom.cardgames.core.DeckDealer	dealFairly(org.washcom.cardgames.core.Deck,java.util.Collection)	deck	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9512d8fa89_bdkosher_card_games_tgz-pJ8-org_washcom_cardgames_battleroyale_BattleRoyaleGameSimulatorJ8/src/org/washcom/cardgames/core/DeckDealer.java
PARAMETER	org.washcom.cardgames.core.DeckDealer	dealFairly(org.washcom.cardgames.core.Deck,java.util.Collection)	players	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9512d8fa89_bdkosher_card_games_tgz-pJ8-org_washcom_cardgames_battleroyale_BattleRoyaleGameSimulatorJ8/src/org/washcom/cardgames/core/DeckDealer.java
METHOD	org.washcom.cardgames.battleroyale.BattleAssessor	pickWinner(org.washcom.cardgames.battleroyale.Battle)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9512d8fa89_bdkosher_card_games_tgz-pJ8-org_washcom_cardgames_battleroyale_BattleRoyaleGameSimulatorJ8/src/org/washcom/cardgames/battleroyale/BattleAssessor.java
METHOD	org.washcom.cardgames.battleroyale.Battle	getBattlers()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9512d8fa89_bdkosher_card_games_tgz-pJ8-org_washcom_cardgames_battleroyale_BattleRoyaleGameSimulatorJ8/src/org/washcom/cardgames/battleroyale/Battle.java
