REGION_CLASS	REGION_MEMBER	USED_MEMBER	USED_CLASS	SOURCE_TYPE
org.cache2k.operation.CacheInfo	of(org.cache2k.Cache)	class	org.cache2k.operation.CacheInfo	SOURCE
org.cache2k.CacheManager	it	class	org.cache2k.spi.Cache2kCoreProvider	SOURCE
org.cache2k.CacheManager	PROVIDER	PROVIDER	org.cache2k.CacheManager	SOURCE
org.cache2k.CacheManager	getDefaultName()	PROVIDER	org.cache2k.CacheManager	SOURCE
org.cache2k.CacheManager	getDefaultName()	PROVIDER	org.cache2k.CacheManager	SOURCE
org.cache2k.CacheManager	setDefaultName(java.lang.String)	PROVIDER	org.cache2k.CacheManager	SOURCE
org.cache2k.CacheManager	setDefaultName(java.lang.String)	PROVIDER	org.cache2k.CacheManager	SOURCE
org.cache2k.CacheManager	getInstance()	PROVIDER	org.cache2k.CacheManager	SOURCE
org.cache2k.CacheManager	getInstance()	PROVIDER	org.cache2k.CacheManager	SOURCE
org.cache2k.CacheManager	getInstance()	PROVIDER	org.cache2k.CacheManager	SOURCE
org.cache2k.CacheManager	getInstance(java.lang.ClassLoader)	PROVIDER	org.cache2k.CacheManager	SOURCE
org.cache2k.CacheManager	getInstance(java.lang.ClassLoader)	PROVIDER	org.cache2k.CacheManager	SOURCE
org.cache2k.CacheManager	getInstance(java.lang.String)	PROVIDER	org.cache2k.CacheManager	SOURCE
org.cache2k.CacheManager	getInstance(java.lang.String)	PROVIDER	org.cache2k.CacheManager	SOURCE
org.cache2k.CacheManager	getInstance(java.lang.ClassLoader,java.lang.String)	PROVIDER	org.cache2k.CacheManager	SOURCE
org.cache2k.CacheManager	closeAll()	PROVIDER	org.cache2k.CacheManager	SOURCE
org.cache2k.CacheManager	closeAll(java.lang.ClassLoader)	PROVIDER	org.cache2k.CacheManager	SOURCE
org.cache2k.CacheManager	close(java.lang.ClassLoader,java.lang.String)	PROVIDER	org.cache2k.CacheManager	SOURCE
org.cache2k.config.Cache2kConfig	EXPIRY_ETERNAL	ETERNAL	org.cache2k.expiry.ExpiryTimeValues	SOURCE
org.cache2k.config.Cache2kConfig	EXPIRY_NOT_ETERNAL	ETERNAL	org.cache2k.expiry.ExpiryTimeValues	SOURCE
org.cache2k.config.Cache2kConfig	entryCapacity	UNSET_LONG	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	UNSET_LONG	UNSET_LONG	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	maximumWeight	UNSET_LONG	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	UNSET_LONG	UNSET_LONG	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	getName()	name	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	setName(java.lang.String)	name	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	setName(java.lang.String)	this	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	isNameWasGenerated()	nameWasGenerated	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	setNameWasGenerated(boolean)	nameWasGenerated	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	setNameWasGenerated(boolean)	this	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	getEntryCapacity()	entryCapacity	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	setEntryCapacity(long)	entryCapacity	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	setEntryCapacity(long)	this	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	isRefreshAhead()	refreshAhead	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	setRefreshAhead(boolean)	refreshAhead	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	setRefreshAhead(boolean)	this	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	getKeyType()	keyType	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	setKeyType(org.cache2k.config.CacheType)	valueType	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	setKeyType(org.cache2k.config.CacheType)	keyType	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	getValueType()	valueType	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	setValueType(org.cache2k.config.CacheType)	valueType	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	setValueType(org.cache2k.config.CacheType)	valueType	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	getExpireAfterWrite()	expireAfterWrite	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	setExpireAfterWrite(java.time.Duration)	expireAfterWrite	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	setExpireAfterWrite(java.time.Duration)	this	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	isEternal()	eternal	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	setEternal(boolean)	eternal	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	setEternal(boolean)	this	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	getTimerLag()	timerLag	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	setTimerLag(java.time.Duration)	timerLag	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	setTimerLag(java.time.Duration)	this	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	isKeepDataAfterExpired()	keepDataAfterExpired	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	getMaximumWeight()	maximumWeight	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	setMaximumWeight(long)	entryCapacity	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	setMaximumWeight(long)	maximumWeight	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	setKeepDataAfterExpired(boolean)	keepDataAfterExpired	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	setKeepDataAfterExpired(boolean)	this	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	isSharpExpiry()	sharpExpiry	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	setSharpExpiry(boolean)	sharpExpiry	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	setSharpExpiry(boolean)	this	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	isExternalConfigurationPresent()	externalConfigurationPresent	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	setExternalConfigurationPresent(boolean)	externalConfigurationPresent	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	getSections()	sections	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	getSections()	sections	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	getSections()	sections	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	getLoader()	loader	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	setLoader(org.cache2k.config.CustomizationSupplier)	loader	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	getAdvancedLoader()	advancedLoader	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	setAdvancedLoader(org.cache2k.config.CustomizationSupplier)	advancedLoader	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	getAsyncLoader()	asyncLoader	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	setAsyncLoader(org.cache2k.config.CustomizationSupplier)	asyncLoader	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	getLoaderThreadCount()	loaderThreadCount	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	setLoaderThreadCount(int)	loaderThreadCount	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	getExpiryPolicy()	expiryPolicy	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	setExpiryPolicy(org.cache2k.config.CustomizationSupplier)	expiryPolicy	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	getWriter()	writer	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	setWriter(org.cache2k.config.CustomizationSupplier)	writer	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	isStoreByReference()	storeByReference	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	setStoreByReference(boolean)	storeByReference	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	getExceptionPropagator()	exceptionPropagator	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	setExceptionPropagator(org.cache2k.config.CustomizationSupplier)	exceptionPropagator	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	getListeners()	listeners	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	getListeners()	listeners	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	getListeners()	listeners	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	hasListeners()	listeners	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	hasListeners()	listeners	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	getAsyncListeners()	asyncListeners	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	getAsyncListeners()	asyncListeners	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	getAsyncListeners()	asyncListeners	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	hasAsyncListeners()	asyncListeners	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	hasAsyncListeners()	asyncListeners	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	getLifecycleListeners()	lifecycleListeners	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	getLifecycleListeners()	lifecycleListeners	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	getLifecycleListeners()	lifecycleListeners	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	hasLifecycleListeners()	lifecycleListeners	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	hasLifecycleListeners()	lifecycleListeners	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	getFeatures()	features	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	getFeatures()	features	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	getFeatures()	features	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	hasFeatures()	features	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	hasFeatures()	features	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	getResiliencePolicy()	resiliencePolicy	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	setResiliencePolicy(org.cache2k.config.CustomizationSupplier)	resiliencePolicy	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	isStrictEviction()	strictEviction	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	setStrictEviction(boolean)	strictEviction	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	isPermitNullValues()	permitNullValues	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	setPermitNullValues(boolean)	permitNullValues	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	isDisableStatistics()	disableStatistics	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	setDisableStatistics(boolean)	disableStatistics	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	getLoaderExecutor()	loaderExecutor	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	setLoaderExecutor(org.cache2k.config.CustomizationSupplier)	loaderExecutor	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	isRecordModificationTime()	recordModificationTime	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	setRecordModificationTime(boolean)	recordModificationTime	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	getRefreshExecutor()	refreshExecutor	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	setRefreshExecutor(org.cache2k.config.CustomizationSupplier)	refreshExecutor	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	getExecutor()	executor	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	setExecutor(org.cache2k.config.CustomizationSupplier)	executor	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	getAsyncListenerExecutor()	asyncListenerExecutor	org.cache2k.config.Cache2kConfig	SOURCE
org.cache2k.config.Cache2kConfig	setAsyncListenerExecutor(org.cache2k.config.CustomizationSupplier)	asyncListenerExecutor	org.cache2k.config.Cache2kConfig	SOURCE
