REGION_CLASS	REGION_MEMBER	USED_MEMBER	USED_CLASS	SOURCE_TYPE
com.google.cloud.tools.jib.cache.CacheFiles	getMetadataFile(java.nio.file.Path)	METADATA_FILENAME	com.google.cloud.tools.jib.cache.CacheFiles	SOURCE
com.google.cloud.tools.jib.cache.CacheFiles	getLayerFile(java.nio.file.Path,com.google.cloud.tools.jib.image.DescriptorDigest)	LAYER_FILE_EXTENSION	com.google.cloud.tools.jib.cache.CacheFiles	SOURCE
com.google.cloud.tools.jib.image.DescriptorDigest	null	class	com.google.cloud.tools.jib.image.json.DescriptorDigestSerializer	SOURCE
com.google.cloud.tools.jib.image.DescriptorDigest	null	class	com.google.cloud.tools.jib.image.json.DescriptorDigestDeserializer	SOURCE
com.google.cloud.tools.jib.image.DescriptorDigest	DIGEST_PREFIX	DIGEST_PREFIX	com.google.cloud.tools.jib.image.DescriptorDigest	SOURCE
com.google.cloud.tools.jib.image.DescriptorDigest	HASH_REGEX	HASH_REGEX	com.google.cloud.tools.jib.image.DescriptorDigest	SOURCE
com.google.cloud.tools.jib.image.DescriptorDigest	fromHash(java.lang.String)	HASH_REGEX	com.google.cloud.tools.jib.image.DescriptorDigest	SOURCE
com.google.cloud.tools.jib.image.DescriptorDigest	fromDigest(java.lang.String)	DIGEST_REGEX	com.google.cloud.tools.jib.image.DescriptorDigest	SOURCE
com.google.cloud.tools.jib.image.DescriptorDigest	fromDigest(java.lang.String)	DIGEST_PREFIX	com.google.cloud.tools.jib.image.DescriptorDigest	SOURCE
com.google.cloud.tools.jib.image.DescriptorDigest	DescriptorDigest(java.lang.String)	hash	com.google.cloud.tools.jib.image.DescriptorDigest	SOURCE
com.google.cloud.tools.jib.image.DescriptorDigest	DescriptorDigest(java.lang.String)	this	com.google.cloud.tools.jib.image.DescriptorDigest	SOURCE
com.google.cloud.tools.jib.image.DescriptorDigest	getHash()	hash	com.google.cloud.tools.jib.image.DescriptorDigest	SOURCE
com.google.cloud.tools.jib.image.DescriptorDigest	toString()	hash	com.google.cloud.tools.jib.image.DescriptorDigest	SOURCE
