id	class	method	parent	flags	annotations	visibility	non-primitive-return	path
1	com.google.cloud.tools.jib.cache.CacheFiles	getMetadataFile(java.nio.file.Path)	0	[false]		package	true	/Users/nima/Developer/annotator-run/src/main/java/com/google/cloud/tools/jib/cache/CacheFiles.java
2	com.google.cloud.tools.jib.cache.CacheFiles	getLayerFile(java.nio.file.Path,com.google.cloud.tools.jib.image.DescriptorDigest)	0	[false, false]		package	true	/Users/nima/Developer/annotator-run/src/main/java/com/google/cloud/tools/jib/cache/CacheFiles.java
3	com.google.cloud.tools.jib.cache.CacheFiles	CacheFiles()	0	[]		private	false	/Users/nima/Developer/annotator-run/src/main/java/com/google/cloud/tools/jib/cache/CacheFiles.java
4	com.google.cloud.tools.jib.image.DescriptorDigest	fromHash(java.lang.String)	0	[false]		public	true	/Users/nima/Developer/annotator-run/src/main/java/com/google/cloud/tools/jib/image/DescriptorDigest.java
5	com.google.cloud.tools.jib.image.DescriptorDigest	fromDigest(java.lang.String)	0	[false]		public	true	/Users/nima/Developer/annotator-run/src/main/java/com/google/cloud/tools/jib/image/DescriptorDigest.java
6	com.google.cloud.tools.jib.image.DescriptorDigest	DescriptorDigest(java.lang.String)	0	[false]		private	false	/Users/nima/Developer/annotator-run/src/main/java/com/google/cloud/tools/jib/image/DescriptorDigest.java
7	com.google.cloud.tools.jib.image.DescriptorDigest	getHash()	0	[]		public	true	/Users/nima/Developer/annotator-run/src/main/java/com/google/cloud/tools/jib/image/DescriptorDigest.java
8	com.google.cloud.tools.jib.image.DescriptorDigest	toString()	9	[]	java.lang.Override	public	true	/Users/nima/Developer/annotator-run/src/main/java/com/google/cloud/tools/jib/image/DescriptorDigest.java
10	com.google.cloud.tools.jib.image.DescriptorDigest	hashCode()	11	[]	java.lang.Override	public	false	/Users/nima/Developer/annotator-run/src/main/java/com/google/cloud/tools/jib/image/DescriptorDigest.java
12	com.google.cloud.tools.jib.image.DescriptorDigest	equals(java.lang.Object)	13	[false]	java.lang.Override	public	false	/Users/nima/Developer/annotator-run/src/main/java/com/google/cloud/tools/jib/image/DescriptorDigest.java
14	com.google.cloud.tools.jib.cache.CachedLayer	CachedLayer(java.nio.file.Path,com.google.cloud.tools.jib.blob.BlobDescriptor,com.google.cloud.tools.jib.image.DescriptorDigest)	0	[false, false, false]		public	false	/Users/nima/Developer/annotator-run/src/main/java/com/google/cloud/tools/jib/cache/CachedLayer.java
15	com.google.cloud.tools.jib.cache.CachedLayer	getContentFile()	0	[]		public	true	/Users/nima/Developer/annotator-run/src/main/java/com/google/cloud/tools/jib/cache/CachedLayer.java
16	com.google.cloud.tools.jib.cache.CachedLayer	getBlob()	17	[]	java.lang.Override	public	true	/Users/nima/Developer/annotator-run/src/main/java/com/google/cloud/tools/jib/cache/CachedLayer.java
18	com.google.cloud.tools.jib.cache.CachedLayer	getBlobDescriptor()	19	[]	java.lang.Override	public	true	/Users/nima/Developer/annotator-run/src/main/java/com/google/cloud/tools/jib/cache/CachedLayer.java
20	com.google.cloud.tools.jib.cache.CachedLayer	getDiffId()	21	[]	java.lang.Override	public	true	/Users/nima/Developer/annotator-run/src/main/java/com/google/cloud/tools/jib/cache/CachedLayer.java
17	com.google.cloud.tools.jib.image.Layer	getBlob()	0	[]		public	true	/Users/nima/Developer/annotator-run/src/main/java/com/google/cloud/tools/jib/image/Layer.java
19	com.google.cloud.tools.jib.image.Layer	getBlobDescriptor()	0	[]		public	true	/Users/nima/Developer/annotator-run/src/main/java/com/google/cloud/tools/jib/image/Layer.java
21	com.google.cloud.tools.jib.image.Layer	getDiffId()	0	[]		public	true	/Users/nima/Developer/annotator-run/src/main/java/com/google/cloud/tools/jib/image/Layer.java
22	com.google.cloud.tools.jib.blob.BlobDescriptor	fromPipe(java.io.InputStream,java.io.OutputStream)	0	[false, false]		package	true	/Users/nima/Developer/annotator-run/src/main/java/com/google/cloud/tools/jib/blob/BlobDescriptor.java
23	com.google.cloud.tools.jib.blob.BlobDescriptor	BlobDescriptor(long,com.google.cloud.tools.jib.image.DescriptorDigest)	0	[false, false]		public	false	/Users/nima/Developer/annotator-run/src/main/java/com/google/cloud/tools/jib/blob/BlobDescriptor.java
24	com.google.cloud.tools.jib.blob.BlobDescriptor	BlobDescriptor(com.google.cloud.tools.jib.image.DescriptorDigest)	0	[false]		public	false	/Users/nima/Developer/annotator-run/src/main/java/com/google/cloud/tools/jib/blob/BlobDescriptor.java
25	com.google.cloud.tools.jib.blob.BlobDescriptor	hasSize()	0	[]		public	false	/Users/nima/Developer/annotator-run/src/main/java/com/google/cloud/tools/jib/blob/BlobDescriptor.java
26	com.google.cloud.tools.jib.blob.BlobDescriptor	getDigest()	0	[]		public	true	/Users/nima/Developer/annotator-run/src/main/java/com/google/cloud/tools/jib/blob/BlobDescriptor.java
27	com.google.cloud.tools.jib.blob.BlobDescriptor	getSize()	0	[]		public	false	/Users/nima/Developer/annotator-run/src/main/java/com/google/cloud/tools/jib/blob/BlobDescriptor.java
28	com.google.cloud.tools.jib.blob.BlobDescriptor	equals(java.lang.Object)	13	[false]	java.lang.Override	public	false	/Users/nima/Developer/annotator-run/src/main/java/com/google/cloud/tools/jib/blob/BlobDescriptor.java
