kind	class	method	param	index	uri	field
METHOD	de.zuellich.meal_planner.pinterest.datatypes.BoardListing	setBoard(de.zuellich.meal_planner.pinterest.datatypes.Board)	null	null	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/BoardListing.java	board
METHOD	de.zuellich.meal_planner.pinterest.datatypes.BoardListing	setPins(java.util.List)	null	null	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/BoardListing.java	pins
METHOD	de.zuellich.meal_planner.pinterest.datatypes.Board	setId(java.lang.String)	null	null	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/Board.java	id
METHOD	de.zuellich.meal_planner.pinterest.datatypes.Board	setName(java.lang.String)	null	null	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/Board.java	name
METHOD	de.zuellich.meal_planner.pinterest.datatypes.Board	setUrl(java.lang.String)	null	null	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/Board.java	url
METHOD	de.zuellich.meal_planner.pinterest.datatypes.Pin	setId(java.lang.String)	null	null	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/Pin.java	id
METHOD	de.zuellich.meal_planner.pinterest.datatypes.Pin	setOriginalLink(java.lang.String)	null	null	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/Pin.java	originalLink
METHOD	de.zuellich.meal_planner.pinterest.datatypes.Pin	setNote(java.lang.String)	null	null	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/Pin.java	note
METHOD	de.zuellich.meal_planner.pinterest.datatypes.Pin	setName(java.lang.String)	null	null	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/Pin.java	name
METHOD	de.zuellich.meal_planner.pinterest.datatypes.BoardList	setBoards(java.util.List)	null	null	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/BoardList.java	boards
METHOD	de.zuellich.meal_planner.pinterest.datatypes.PinList	setPins(java.util.List)	null	null	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/PinList.java	pins
METHOD	de.zuellich.meal_planner.pinterest.datatypes.PinList	setPage(de.zuellich.meal_planner.pinterest.datatypes.PagingInformation)	null	null	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/PinList.java	page
METHOD	de.zuellich.meal_planner.pinterest.datatypes.PagingInformation	setCursor(java.lang.String)	null	null	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/PagingInformation.java	cursor
METHOD	de.zuellich.meal_planner.pinterest.datatypes.PagingInformation	setNext(java.lang.String)	null	null	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/PagingInformation.java	next
METHOD	de.zuellich.meal_planner.pinterest.datatypes.BoardRequest	setBoard(de.zuellich.meal_planner.pinterest.datatypes.Board)	null	null	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/BoardRequest.java	board
METHOD	de.zuellich.meal_planner.datatypes.Recipe	setName(java.lang.String)	null	null	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/datatypes/Recipe.java	name
METHOD	de.zuellich.meal_planner.datatypes.Recipe	setIngredients(java.util.List)	null	null	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/datatypes/Recipe.java	ingredients
METHOD	de.zuellich.meal_planner.datatypes.Recipe	setSource(java.lang.String)	null	null	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/datatypes/Recipe.java	source
METHOD	de.zuellich.meal_planner.algorithms.IngredientUnitLookup	setupLookupTable()	null	null	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/algorithms/IngredientUnitLookup.java	byShorthand
METHOD	de.zuellich.meal_planner.algorithms.IngredientUnitLookup	setupLookupTable()	null	null	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/algorithms/IngredientUnitLookup.java	byPlural
METHOD	de.zuellich.meal_planner.algorithms.IngredientUnitLookup	setupLookupTable()	null	null	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/algorithms/IngredientUnitLookup.java	bySingular
