id	class	method	parent	flags	annotations	visibility	non-primitive-return	path
1	butterknife.compiler.FieldResourceBinding$Type	Type(butterknife.compiler.FieldResourceBinding.ResourceMethod[])	0	[false]		private	false	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/FieldResourceBinding.java
2	butterknife.compiler.FieldResourceBinding$Type	Type(java.lang.String)	0	[false]		private	false	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/FieldResourceBinding.java
3	butterknife.compiler.FieldResourceBinding$Type	methodForSdk(int)	0	[false]		package	true	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/FieldResourceBinding.java
4	butterknife.compiler.FieldResourceBinding$ResourceMethod	ResourceMethod(com.squareup.javapoet.ClassName,java.lang.String,boolean,int)	0	[false, false, false, false]		package	false	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/FieldResourceBinding.java
5	butterknife.compiler.FieldResourceBinding$ResourceMethod	compareTo(butterknife.compiler.FieldResourceBinding.ResourceMethod)	6	[false]	java.lang.Override	public	false	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/FieldResourceBinding.java
7	butterknife.compiler.FieldResourceBinding	FieldResourceBinding(butterknife.compiler.Id,java.lang.String,butterknife.compiler.FieldResourceBinding.Type)	0	[false, false, false]		package	false	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/FieldResourceBinding.java
8	butterknife.compiler.FieldResourceBinding	id()	9	[]	java.lang.Override	public	true	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/FieldResourceBinding.java
10	butterknife.compiler.FieldResourceBinding	requiresResources(int)	11	[false]	java.lang.Override	public	false	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/FieldResourceBinding.java
12	butterknife.compiler.FieldResourceBinding	render(int)	13	[false]	java.lang.Override	public	true	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/FieldResourceBinding.java
9	butterknife.compiler.ResourceBinding	id()	0	[]		public	true	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/ResourceBinding.java
11	butterknife.compiler.ResourceBinding	requiresResources(int)	0	[false]		public	false	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/ResourceBinding.java
13	butterknife.compiler.ResourceBinding	render(int)	0	[false]		public	true	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/ResourceBinding.java
14	butterknife.compiler.Id	Id(int)	0	[false]		package	false	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/Id.java
15	butterknife.compiler.Id	Id(int,com.sun.tools.javac.code.Symbol)	0	[false, false]		package	false	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/Id.java
16	butterknife.compiler.Id	equals(java.lang.Object)	17	[false]	java.lang.Override	public	false	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/Id.java
18	butterknife.compiler.Id	hashCode()	19	[]	java.lang.Override	public	false	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/Id.java
20	butterknife.compiler.Id	toString()	21	[]	java.lang.Override	public	true	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/Id.java
22	butterknife.compiler.FieldTypefaceBinding$TypefaceStyles	TypefaceStyles(int)	0	[false]		private	false	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/FieldTypefaceBinding.java
23	butterknife.compiler.FieldTypefaceBinding$TypefaceStyles	fromValue(int)	0	[false]		package	true	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/FieldTypefaceBinding.java
24	butterknife.compiler.FieldTypefaceBinding	FieldTypefaceBinding(butterknife.compiler.Id,java.lang.String,butterknife.compiler.FieldTypefaceBinding.TypefaceStyles,boolean)	0	[false, false, false, false]		package	false	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/FieldTypefaceBinding.java
25	butterknife.compiler.FieldTypefaceBinding	id()	9	[]	java.lang.Override	public	true	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/FieldTypefaceBinding.java
26	butterknife.compiler.FieldTypefaceBinding	requiresResources(int)	11	[false]	java.lang.Override	public	false	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/FieldTypefaceBinding.java
27	butterknife.compiler.FieldTypefaceBinding	render(int)	13	[false]	java.lang.Override	public	true	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/FieldTypefaceBinding.java
28	butterknife.compiler.ButterKnifeProcessor	init(javax.annotation.processing.ProcessingEnvironment)	29	[false]	java.lang.Override	public	false	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/ButterKnifeProcessor.java
30	butterknife.compiler.ButterKnifeProcessor	getSupportedOptions()	31	[]	java.lang.Override	public	true	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/ButterKnifeProcessor.java
32	butterknife.compiler.ButterKnifeProcessor	getSupportedAnnotationTypes()	33	[]	java.lang.Override	public	true	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/ButterKnifeProcessor.java
34	butterknife.compiler.ButterKnifeProcessor	getSupportedAnnotations()	0	[]		private	true	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/ButterKnifeProcessor.java
35	butterknife.compiler.ButterKnifeProcessor	process(java.util.Set,javax.annotation.processing.RoundEnvironment)	36	[false, false]	java.lang.Override	public	false	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/ButterKnifeProcessor.java
37	butterknife.compiler.ButterKnifeProcessor	findAndParseTargets(javax.annotation.processing.RoundEnvironment)	0	[false]		private	true	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/ButterKnifeProcessor.java
38	butterknife.compiler.ButterKnifeProcessor	logParsingError(javax.lang.model.element.Element,java.lang.Class,java.lang.Exception)	0	[false, false, false]		private	false	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/ButterKnifeProcessor.java
39	butterknife.compiler.ButterKnifeProcessor	isInaccessibleViaGeneratedCode(java.lang.Class,java.lang.String,javax.lang.model.element.Element)	0	[false, false, false]		private	false	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/ButterKnifeProcessor.java
40	butterknife.compiler.ButterKnifeProcessor	isBindingInWrongPackage(java.lang.Class,javax.lang.model.element.Element)	0	[false, false]		private	false	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/ButterKnifeProcessor.java
41	butterknife.compiler.ButterKnifeProcessor	parseBindView(javax.lang.model.element.Element,java.util.Map,java.util.Set)	0	[false, false, false]		private	false	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/ButterKnifeProcessor.java
42	butterknife.compiler.ButterKnifeProcessor	parseBindViews(javax.lang.model.element.Element,java.util.Map,java.util.Set)	0	[false, false, false]		private	false	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/ButterKnifeProcessor.java
43	butterknife.compiler.ButterKnifeProcessor	parseResourceAnimation(javax.lang.model.element.Element,java.util.Map,java.util.Set)	0	[false, false, false]		private	false	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/ButterKnifeProcessor.java
44	butterknife.compiler.ButterKnifeProcessor	parseResourceBool(javax.lang.model.element.Element,java.util.Map,java.util.Set)	0	[false, false, false]		private	false	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/ButterKnifeProcessor.java
45	butterknife.compiler.ButterKnifeProcessor	parseResourceColor(javax.lang.model.element.Element,java.util.Map,java.util.Set)	0	[false, false, false]		private	false	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/ButterKnifeProcessor.java
46	butterknife.compiler.ButterKnifeProcessor	parseResourceDimen(javax.lang.model.element.Element,java.util.Map,java.util.Set)	0	[false, false, false]		private	false	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/ButterKnifeProcessor.java
47	butterknife.compiler.ButterKnifeProcessor	parseResourceBitmap(javax.lang.model.element.Element,java.util.Map,java.util.Set)	0	[false, false, false]		private	false	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/ButterKnifeProcessor.java
48	butterknife.compiler.ButterKnifeProcessor	parseResourceDrawable(javax.lang.model.element.Element,java.util.Map,java.util.Set)	0	[false, false, false]		private	false	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/ButterKnifeProcessor.java
49	butterknife.compiler.ButterKnifeProcessor	parseResourceFloat(javax.lang.model.element.Element,java.util.Map,java.util.Set)	0	[false, false, false]		private	false	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/ButterKnifeProcessor.java
50	butterknife.compiler.ButterKnifeProcessor	parseResourceFont(javax.lang.model.element.Element,java.util.Map,java.util.Set)	0	[false, false, false]		private	false	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/ButterKnifeProcessor.java
51	butterknife.compiler.ButterKnifeProcessor	parseResourceInt(javax.lang.model.element.Element,java.util.Map,java.util.Set)	0	[false, false, false]		private	false	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/ButterKnifeProcessor.java
52	butterknife.compiler.ButterKnifeProcessor	parseResourceString(javax.lang.model.element.Element,java.util.Map,java.util.Set)	0	[false, false, false]		private	false	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/ButterKnifeProcessor.java
53	butterknife.compiler.ButterKnifeProcessor	parseResourceArray(javax.lang.model.element.Element,java.util.Map,java.util.Set)	0	[false, false, false]		private	false	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/ButterKnifeProcessor.java
54	butterknife.compiler.ButterKnifeProcessor	getArrayResourceMethodName(javax.lang.model.element.Element)	0	[false]		private	true	/Users/nima/Developer/annotator-run/src/main/java/butterknife/compiler/ButterKnifeProcessor.java
