message_type	message	enc_class	enc_member	offset	path	target_kind	target_class	target_method	target_param	target_index	target_path
WRONG_OVERRIDE_RETURN	method returns @Nullable, but superclass method org.cache2k.processor.EntryProcessor.process(org.cache2k.processor.MutableCacheEntry<K,V>) returns @NonNull	org.cache2k.Cache$1	process(org.cache2k.processor.MutableCacheEntry)	34574	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-ngt-post/src/src/main/java/org/cache2k/Cache.java	METHOD	org.cache2k.processor.EntryProcessor	process(org.cache2k.processor.MutableCacheEntry)	null	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-ngt-post/src/src/main/java/org/cache2k/processor/EntryProcessor.java
RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	org.cache2k.Cache	mutateAll(java.lang.Iterable,org.cache2k.processor.EntryMutator)	36660	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-ngt-post/src/src/main/java/org/cache2k/Cache.java	METHOD	org.cache2k.processor.EntryProcessor	process(org.cache2k.processor.MutableCacheEntry)	null	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-ngt-post/src/src/main/java/org/cache2k/processor/EntryProcessor.java
FIELD_NO_INIT	@NonNull field name not initialized	org.cache2k.config.Cache2kConfig	name	3232	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-ngt-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java	FIELD	org.cache2k.config.Cache2kConfig	null	name	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-ngt-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java
FIELD_NO_INIT	@NonNull field keyType not initialized	org.cache2k.config.Cache2kConfig	keyType	3297	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-ngt-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java	FIELD	org.cache2k.config.Cache2kConfig	null	keyType	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-ngt-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java
FIELD_NO_INIT	@NonNull field valueType not initialized	org.cache2k.config.Cache2kConfig	valueType	3332	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-ngt-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java	FIELD	org.cache2k.config.Cache2kConfig	null	valueType	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-ngt-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java
FIELD_NO_INIT	@NonNull field loaderExecutor not initialized	org.cache2k.config.Cache2kConfig	loaderExecutor	4132	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-ngt-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java	FIELD	org.cache2k.config.Cache2kConfig	null	loaderExecutor	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-ngt-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java
FIELD_NO_INIT	@NonNull field refreshExecutor not initialized	org.cache2k.config.Cache2kConfig	refreshExecutor	4203	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-ngt-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java	FIELD	org.cache2k.config.Cache2kConfig	null	refreshExecutor	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-ngt-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java
FIELD_NO_INIT	@NonNull field asyncListenerExecutor not initialized	org.cache2k.config.Cache2kConfig	asyncListenerExecutor	4275	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-ngt-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java	FIELD	org.cache2k.config.Cache2kConfig	null	asyncListenerExecutor	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-ngt-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java
FIELD_NO_INIT	@NonNull field executor not initialized	org.cache2k.config.Cache2kConfig	executor	4353	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-ngt-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java	FIELD	org.cache2k.config.Cache2kConfig	null	executor	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-ngt-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java
FIELD_NO_INIT	@NonNull field expiryPolicy not initialized	org.cache2k.config.Cache2kConfig	expiryPolicy	4418	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-ngt-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java	FIELD	org.cache2k.config.Cache2kConfig	null	expiryPolicy	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-ngt-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java
