message_type	message	enc_class	enc_member	offset	path	target_kind	target_class	target_method	target_param	target_index	target_path
RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	com.leinardi.android.speeddial.UiUtils	getBitmapFromDrawable(android.graphics.drawable.Drawable)	6405	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/floating-ngt-pre/src/library/src/main/java/com/leinardi/android/speeddial/UiUtils.java	METHOD	com.leinardi.android.speeddial.UiUtils	getBitmapFromDrawable(android.graphics.drawable.Drawable)	null	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/floating-ngt-pre/src/library/src/main/java/com/leinardi/android/speeddial/UiUtils.java
RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	com.leinardi.android.speeddial.UiUtils	getDrawableFromBitmap(android.graphics.Bitmap)	7524	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/floating-ngt-pre/src/library/src/main/java/com/leinardi/android/speeddial/UiUtils.java	METHOD	com.leinardi.android.speeddial.UiUtils	getDrawableFromBitmap(android.graphics.Bitmap)	null	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/floating-ngt-pre/src/library/src/main/java/com/leinardi/android/speeddial/UiUtils.java
RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	com.leinardi.android.speeddial.SpeedDialActionItem	getFabImageDrawable(android.content.Context)	3187	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/floating-ngt-pre/src/library/src/main/java/com/leinardi/android/speeddial/SpeedDialActionItem.java	METHOD	com.leinardi.android.speeddial.SpeedDialActionItem	getFabImageDrawable(android.content.Context)	null	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/floating-ngt-pre/src/library/src/main/java/com/leinardi/android/speeddial/SpeedDialActionItem.java
METHOD_NO_INIT	initializer method does not guarantee @NonNull field mLabel (line 154) is initialized along all control-flow paths (remember to check for exceptions or early returns).	com.leinardi.android.speeddial.SpeedDialActionItem$Builder	Builder(int,int)	5257	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/floating-ngt-pre/src/library/src/main/java/com/leinardi/android/speeddial/SpeedDialActionItem.java	null	null	null	null	null	null
METHOD_NO_INIT	initializer method does not guarantee @NonNull field mLabel (line 154) is initialized along all control-flow paths (remember to check for exceptions or early returns).	com.leinardi.android.speeddial.SpeedDialActionItem$Builder	Builder(int,android.graphics.drawable.Drawable)	5872	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/floating-ngt-pre/src/library/src/main/java/com/leinardi/android/speeddial/SpeedDialActionItem.java	null	null	null	null	null	null
PASS_NULLABLE	passing @Nullable parameter 'this.mFabImageDrawable' where @NonNull is required	com.leinardi.android.speeddial.SpeedDialActionItem	writeToParcel(android.os.Parcel,int)	7701	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/floating-ngt-pre/src/library/src/main/java/com/leinardi/android/speeddial/SpeedDialActionItem.java	PARAMETER	com.leinardi.android.speeddial.UiUtils	getBitmapFromDrawable(android.graphics.drawable.Drawable)	drawable	0	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/floating-ngt-pre/src/library/src/main/java/com/leinardi/android/speeddial/UiUtils.java
WRONG_OVERRIDE_PARAM	parameter actionItem is @NonNull, but parameter in superclass method com.leinardi.android.speeddial.SpeedDialView.OnActionSelectedListener.onActionSelected(com.leinardi.android.speeddial.SpeedDialActionItem) is @Nullable	com.leinardi.android.speeddial.SpeedDialView$1	onActionSelected(com.leinardi.android.speeddial.SpeedDialActionItem)	3432	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/floating-ngt-pre/src/library/src/main/java/com/leinardi/android/speeddial/SpeedDialView.java	PARAMETER	com.leinardi.android.speeddial.SpeedDialView$1	onActionSelected(com.leinardi.android.speeddial.SpeedDialActionItem)	actionItem	0	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/floating-ngt-pre/src/library/src/main/java/com/leinardi/android/speeddial/SpeedDialView.java
PASS_NULLABLE	passing @Nullable parameter 'null' where @NonNull is required	com.leinardi.android.speeddial.SpeedDialView	SpeedDialView(android.content.Context)	3932	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/floating-ngt-pre/src/library/src/main/java/com/leinardi/android/speeddial/SpeedDialView.java	PARAMETER	com.leinardi.android.speeddial.SpeedDialView	init(android.content.Context,android.util.AttributeSet)	attrs	1	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/floating-ngt-pre/src/library/src/main/java/com/leinardi/android/speeddial/SpeedDialView.java
PASS_NULLABLE	passing @Nullable parameter 'null' where @NonNull is required	com.leinardi.android.speeddial.SpeedDialView	show()	5202	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/floating-ngt-pre/src/library/src/main/java/com/leinardi/android/speeddial/SpeedDialView.java	PARAMETER	com.leinardi.android.speeddial.SpeedDialView	show(android.support.design.widget.FloatingActionButton.OnVisibilityChangedListener)	listener	0	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/floating-ngt-pre/src/library/src/main/java/com/leinardi/android/speeddial/SpeedDialView.java
PASS_NULLABLE	passing @Nullable parameter 'null' where @NonNull is required	com.leinardi.android.speeddial.SpeedDialView	hide()	5361	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/floating-ngt-pre/src/library/src/main/java/com/leinardi/android/speeddial/SpeedDialView.java	PARAMETER	com.leinardi.android.speeddial.SpeedDialView	hide(android.support.design.widget.FloatingActionButton.OnVisibilityChangedListener)	listener	0	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/floating-ngt-pre/src/library/src/main/java/com/leinardi/android/speeddial/SpeedDialView.java
