id	class	method	parent	flags	annotations	visibility	non-primitive-return	path
1	de.zuellich.meal_planner.MealPlanner	main(java.lang.String[])	0	[false]		public	false	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/MealPlanner.java
2	de.zuellich.meal_planner.pinterest.datatypes.BoardListing	getBoard()	0	[]		public	true	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/BoardListing.java
3	de.zuellich.meal_planner.pinterest.datatypes.BoardListing	setBoard(de.zuellich.meal_planner.pinterest.datatypes.Board)	0	[false]		public	false	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/BoardListing.java
4	de.zuellich.meal_planner.pinterest.datatypes.BoardListing	getPins()	0	[]		public	true	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/BoardListing.java
5	de.zuellich.meal_planner.pinterest.datatypes.BoardListing	setPins(java.util.List)	0	[false]		public	false	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/BoardListing.java
6	de.zuellich.meal_planner.pinterest.datatypes.Board	getId()	0	[]		public	true	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/Board.java
7	de.zuellich.meal_planner.pinterest.datatypes.Board	setId(java.lang.String)	0	[false]		public	false	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/Board.java
8	de.zuellich.meal_planner.pinterest.datatypes.Board	getName()	0	[]		public	true	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/Board.java
9	de.zuellich.meal_planner.pinterest.datatypes.Board	setName(java.lang.String)	0	[false]		public	false	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/Board.java
10	de.zuellich.meal_planner.pinterest.datatypes.Board	getUrl()	0	[]		public	true	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/Board.java
11	de.zuellich.meal_planner.pinterest.datatypes.Board	setUrl(java.lang.String)	0	[false]		public	false	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/Board.java
12	de.zuellich.meal_planner.pinterest.datatypes.Board	equals(java.lang.Object)	13	[false]	java.lang.Override	public	false	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/Board.java
14	de.zuellich.meal_planner.pinterest.datatypes.Board	hashCode()	15	[]	java.lang.Override	public	false	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/Board.java
16	de.zuellich.meal_planner.pinterest.datatypes.Board	toString()	17	[]	java.lang.Override	public	true	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/Board.java
18	de.zuellich.meal_planner.pinterest.datatypes.Pin	Pin()	0	[]		public	false	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/Pin.java
19	de.zuellich.meal_planner.pinterest.datatypes.Pin	Pin(java.util.Map)	0	[false]	com.fasterxml.jackson.annotation.JsonCreator	public	false	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/Pin.java
20	de.zuellich.meal_planner.pinterest.datatypes.Pin	getId()	0	[]		public	true	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/Pin.java
21	de.zuellich.meal_planner.pinterest.datatypes.Pin	setId(java.lang.String)	0	[false]		public	false	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/Pin.java
22	de.zuellich.meal_planner.pinterest.datatypes.Pin	getOriginalLink()	0	[]		public	true	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/Pin.java
23	de.zuellich.meal_planner.pinterest.datatypes.Pin	setOriginalLink(java.lang.String)	0	[false]		public	false	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/Pin.java
24	de.zuellich.meal_planner.pinterest.datatypes.Pin	equals(java.lang.Object)	13	[false]	java.lang.Override	public	false	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/Pin.java
25	de.zuellich.meal_planner.pinterest.datatypes.Pin	hashCode()	15	[]	java.lang.Override	public	false	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/Pin.java
26	de.zuellich.meal_planner.pinterest.datatypes.Pin	toString()	17	[]	java.lang.Override	public	true	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/Pin.java
27	de.zuellich.meal_planner.pinterest.datatypes.Pin	getNote()	0	[]		public	true	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/Pin.java
28	de.zuellich.meal_planner.pinterest.datatypes.Pin	setNote(java.lang.String)	0	[false]		public	false	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/Pin.java
29	de.zuellich.meal_planner.pinterest.datatypes.Pin	getName()	0	[]		public	true	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/Pin.java
30	de.zuellich.meal_planner.pinterest.datatypes.Pin	setName(java.lang.String)	0	[false]		public	false	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/Pin.java
31	de.zuellich.meal_planner.pinterest.datatypes.BoardList	getBoards()	0	[]		public	true	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/BoardList.java
32	de.zuellich.meal_planner.pinterest.datatypes.BoardList	setBoards(java.util.List)	0	[false]		public	false	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/BoardList.java
33	de.zuellich.meal_planner.pinterest.datatypes.PinList	getPins()	0	[]		public	true	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/PinList.java
34	de.zuellich.meal_planner.pinterest.datatypes.PinList	setPins(java.util.List)	0	[false]		public	false	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/PinList.java
35	de.zuellich.meal_planner.pinterest.datatypes.PinList	getPage()	0	[]		public	true	/Users/nima/Developer/annotator-run/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/PinList.java
