kind	class	method	param	index	uri	reason	annotation	rootClass	rootMethod
FIELD	de.zuellich.meal_planner.pinterest.datatypes.Board	null	id	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/mealplanner-wpi-pre/src/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/Board.java	FIELD_NO_INIT	nullable	de.zuellich.meal_planner.pinterest.datatypes.Board	null
FIELD	de.zuellich.meal_planner.pinterest.datatypes.Board	null	name	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/mealplanner-wpi-pre/src/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/Board.java	FIELD_NO_INIT	nullable	de.zuellich.meal_planner.pinterest.datatypes.Board	null
FIELD	de.zuellich.meal_planner.pinterest.datatypes.Board	null	url	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/mealplanner-wpi-pre/src/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/Board.java	FIELD_NO_INIT	nullable	de.zuellich.meal_planner.pinterest.datatypes.Board	null
FIELD	de.zuellich.meal_planner.pinterest.datatypes.BoardListing	null	board	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/mealplanner-wpi-pre/src/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/BoardListing.java	FIELD_NO_INIT	nullable	de.zuellich.meal_planner.pinterest.datatypes.BoardListing	null
FIELD	de.zuellich.meal_planner.pinterest.datatypes.BoardListing	null	pins	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/mealplanner-wpi-pre/src/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/BoardListing.java	FIELD_NO_INIT	nullable	de.zuellich.meal_planner.pinterest.datatypes.BoardListing	null
FIELD	de.zuellich.meal_planner.pinterest.datatypes.Pin	null	id	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/mealplanner-wpi-pre/src/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/Pin.java	METHOD_NO_INIT	nullable	de.zuellich.meal_planner.pinterest.datatypes.Pin	null
FIELD	de.zuellich.meal_planner.pinterest.datatypes.Pin	null	originalLink	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/mealplanner-wpi-pre/src/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/Pin.java	METHOD_NO_INIT	nullable	de.zuellich.meal_planner.pinterest.datatypes.Pin	null
FIELD	de.zuellich.meal_planner.pinterest.datatypes.Pin	null	note	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/mealplanner-wpi-pre/src/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/Pin.java	METHOD_NO_INIT	nullable	de.zuellich.meal_planner.pinterest.datatypes.Pin	null
FIELD	de.zuellich.meal_planner.pinterest.datatypes.Pin	null	name	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/mealplanner-wpi-pre/src/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/Pin.java	METHOD_NO_INIT	nullable	de.zuellich.meal_planner.pinterest.datatypes.Pin	null
FIELD	de.zuellich.meal_planner.pinterest.datatypes.Pin	null	id	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/mealplanner-wpi-pre/src/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/Pin.java	METHOD_NO_INIT	nullable	de.zuellich.meal_planner.pinterest.datatypes.Pin	null
FIELD	de.zuellich.meal_planner.pinterest.datatypes.Pin	null	originalLink	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/mealplanner-wpi-pre/src/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/Pin.java	METHOD_NO_INIT	nullable	de.zuellich.meal_planner.pinterest.datatypes.Pin	null
FIELD	de.zuellich.meal_planner.pinterest.datatypes.Pin	null	note	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/mealplanner-wpi-pre/src/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/Pin.java	METHOD_NO_INIT	nullable	de.zuellich.meal_planner.pinterest.datatypes.Pin	null
FIELD	de.zuellich.meal_planner.algorithms.IngredientUnitLookup	null	instance	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/mealplanner-wpi-pre/src/src/main/java/de/zuellich/meal_planner/algorithms/IngredientUnitLookup.java	FIELD_NO_INIT	nullable	de.zuellich.meal_planner.algorithms.IngredientUnitLookup	null
FIELD	de.zuellich.meal_planner.pinterest.datatypes.BoardRequest	null	board	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/mealplanner-wpi-pre/src/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/BoardRequest.java	FIELD_NO_INIT	nullable	de.zuellich.meal_planner.pinterest.datatypes.BoardRequest	null
FIELD	de.zuellich.meal_planner.pinterest.datatypes.PinList	null	pins	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/mealplanner-wpi-pre/src/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/PinList.java	FIELD_NO_INIT	nullable	de.zuellich.meal_planner.pinterest.datatypes.PinList	null
FIELD	de.zuellich.meal_planner.pinterest.datatypes.PinList	null	page	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/mealplanner-wpi-pre/src/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/PinList.java	FIELD_NO_INIT	nullable	de.zuellich.meal_planner.pinterest.datatypes.PinList	null
FIELD	de.zuellich.meal_planner.pinterest.datatypes.PagingInformation	null	cursor	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/mealplanner-wpi-pre/src/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/PagingInformation.java	FIELD_NO_INIT	nullable	de.zuellich.meal_planner.pinterest.datatypes.PagingInformation	null
FIELD	de.zuellich.meal_planner.pinterest.datatypes.PagingInformation	null	next	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/mealplanner-wpi-pre/src/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/PagingInformation.java	FIELD_NO_INIT	nullable	de.zuellich.meal_planner.pinterest.datatypes.PagingInformation	null
FIELD	de.zuellich.meal_planner.pinterest.datatypes.BoardList	null	boards	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/mealplanner-wpi-pre/src/src/main/java/de/zuellich/meal_planner/pinterest/datatypes/BoardList.java	FIELD_NO_INIT	nullable	de.zuellich.meal_planner.pinterest.datatypes.BoardList	null
FIELD	de.zuellich.meal_planner.pinterest.oauth2.ResourceConfiguration	null	clientId	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/mealplanner-wpi-pre/src/src/main/java/de/zuellich/meal_planner/pinterest/oauth2/ResourceConfiguration.java	FIELD_NO_INIT	nullable	de.zuellich.meal_planner.pinterest.oauth2.ResourceConfiguration	null
FIELD	de.zuellich.meal_planner.pinterest.oauth2.ResourceConfiguration	null	clientSecret	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/mealplanner-wpi-pre/src/src/main/java/de/zuellich/meal_planner/pinterest/oauth2/ResourceConfiguration.java	FIELD_NO_INIT	nullable	de.zuellich.meal_planner.pinterest.oauth2.ResourceConfiguration	null
FIELD	de.zuellich.meal_planner.pinterest.oauth2.ResourceConfiguration	null	accessTokenUri	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/mealplanner-wpi-pre/src/src/main/java/de/zuellich/meal_planner/pinterest/oauth2/ResourceConfiguration.java	FIELD_NO_INIT	nullable	de.zuellich.meal_planner.pinterest.oauth2.ResourceConfiguration	null
FIELD	de.zuellich.meal_planner.pinterest.oauth2.ResourceConfiguration	null	authorizationUri	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/mealplanner-wpi-pre/src/src/main/java/de/zuellich/meal_planner/pinterest/oauth2/ResourceConfiguration.java	FIELD_NO_INIT	nullable	de.zuellich.meal_planner.pinterest.oauth2.ResourceConfiguration	null
