message_type	message	enc_class	enc_member	offset	path	target_kind	target_class	target_method	target_param	target_index	target_path
ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	com.squareup.picasso3.DeferredRequestCreator	cancel()	2516	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/picasso-ngt-post/src/src/main/java/com/squareup/picasso3/DeferredRequestCreator.java	FIELD	com.squareup.picasso3.DeferredRequestCreator	null	callback	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/picasso-ngt-post/src/src/main/java/com/squareup/picasso3/DeferredRequestCreator.java
PASS_NULLABLE	passing @Nullable parameter 'null' where @NonNull is required	com.squareup.picasso3.RemoteViewsAction	RemoteViewsAction(com.squareup.picasso3.Picasso,com.squareup.picasso3.Request,com.squareup.picasso3.Target,com.squareup.picasso3.Callback)	1142	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/picasso-ngt-post/src/src/main/java/com/squareup/picasso3/RemoteViewsAction.java	PARAMETER	com.squareup.picasso3.Action	Action(com.squareup.picasso3.Picasso,com.squareup.picasso3.Target,com.squareup.picasso3.Request)	wrapper	1	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/picasso-ngt-post/src/src/main/java/com/squareup/picasso3/Action.java
WRONG_OVERRIDE_PARAM	parameter result is @NonNull, but parameter in superclass method com.squareup.picasso3.Action.complete(com.squareup.picasso3.RequestHandler.Result) is @Nullable	com.squareup.picasso3.RemoteViewsAction	complete(com.squareup.picasso3.RequestHandler.Result)	1253	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/picasso-ngt-post/src/src/main/java/com/squareup/picasso3/RemoteViewsAction.java	PARAMETER	com.squareup.picasso3.RemoteViewsAction	complete(com.squareup.picasso3.RequestHandler.Result)	result	0	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/picasso-ngt-post/src/src/main/java/com/squareup/picasso3/RemoteViewsAction.java
WRONG_OVERRIDE_PARAM	parameter e is @NonNull, but parameter in superclass method com.squareup.picasso3.Action.error(java.lang.Exception) is @Nullable	com.squareup.picasso3.RemoteViewsAction	error(java.lang.Exception)	1693	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/picasso-ngt-post/src/src/main/java/com/squareup/picasso3/RemoteViewsAction.java	PARAMETER	com.squareup.picasso3.RemoteViewsAction	error(java.lang.Exception)	e	0	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/picasso-ngt-post/src/src/main/java/com/squareup/picasso3/RemoteViewsAction.java
PASS_NULLABLE	passing @Nullable parameter 'networkInfo' where @NonNull is required	com.squareup.picasso3.Dispatcher	performRetry(com.squareup.picasso3.BitmapHunter)	11998	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/picasso-ngt-post/src/src/main/java/com/squareup/picasso3/Dispatcher.java	PARAMETER	com.squareup.picasso3.BitmapHunter	shouldRetry(boolean,android.net.NetworkInfo)	info	1	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/picasso-ngt-post/src/src/main/java/com/squareup/picasso3/BitmapHunter.java
PASS_NULLABLE	passing @Nullable parameter 'hunter.data.memoryPolicy' where @NonNull is required	com.squareup.picasso3.Dispatcher	performComplete(com.squareup.picasso3.BitmapHunter)	12800	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/picasso-ngt-post/src/src/main/java/com/squareup/picasso3/Dispatcher.java	PARAMETER	com.squareup.picasso3.MemoryPolicy	shouldWriteToMemoryCache(int)	memoryPolicy	0	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/picasso-ngt-post/src/src/main/java/com/squareup/picasso3/MemoryPolicy.java
PASS_NULLABLE	passing @Nullable parameter 'null' where @NonNull is required	com.squareup.picasso3.Picasso	load(java.lang.String)	14135	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/picasso-ngt-post/src/src/main/java/com/squareup/picasso3/Picasso.java	PARAMETER	com.squareup.picasso3.RequestCreator	RequestCreator(com.squareup.picasso3.Picasso,android.net.Uri,int)	uri	1	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/picasso-ngt-post/src/src/main/java/com/squareup/picasso3/RequestCreator.java
PASS_NULLABLE	passing @Nullable parameter 'null' where @NonNull is required	com.squareup.picasso3.Picasso	load(java.io.File)	14894	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/picasso-ngt-post/src/src/main/java/com/squareup/picasso3/Picasso.java	PARAMETER	com.squareup.picasso3.RequestCreator	RequestCreator(com.squareup.picasso3.Picasso,android.net.Uri,int)	uri	1	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/picasso-ngt-post/src/src/main/java/com/squareup/picasso3/RequestCreator.java
PASS_NULLABLE	passing @Nullable parameter 'null' where @NonNull is required	com.squareup.picasso3.Picasso	load(int)	15354	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/picasso-ngt-post/src/src/main/java/com/squareup/picasso3/Picasso.java	PARAMETER	com.squareup.picasso3.RequestCreator	RequestCreator(com.squareup.picasso3.Picasso,android.net.Uri,int)	uri	1	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/picasso-ngt-post/src/src/main/java/com/squareup/picasso3/RequestCreator.java
DEREFERENCE_NULLABLE	dereferenced expression cache is @Nullable	com.squareup.picasso3.Picasso	evictAll()	15510	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/picasso-ngt-post/src/src/main/java/com/squareup/picasso3/Picasso.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression cache is @Nullable	com.squareup.picasso3.Picasso	invalidate(android.net.Uri)	15768	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/picasso-ngt-post/src/src/main/java/com/squareup/picasso3/Picasso.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression cache is @Nullable	com.squareup.picasso3.Picasso	shutdown()	17815	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/picasso-ngt-post/src/src/main/java/com/squareup/picasso3/Picasso.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression cache is @Nullable	com.squareup.picasso3.Picasso	quickMemoryCacheCheck(java.lang.String)	19723	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/picasso-ngt-post/src/src/main/java/com/squareup/picasso3/Picasso.java	null	null	null	null	null	null
RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	com.squareup.picasso3.Picasso	quickMemoryCacheCheck(java.lang.String)	19881	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/picasso-ngt-post/src/src/main/java/com/squareup/picasso3/Picasso.java	METHOD	com.squareup.picasso3.Picasso	quickMemoryCacheCheck(java.lang.String)	null	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/picasso-ngt-post/src/src/main/java/com/squareup/picasso3/Picasso.java
PASS_NULLABLE	passing @Nullable parameter 'hunter.getData().uri' where @NonNull is required	com.squareup.picasso3.Picasso	complete(com.squareup.picasso3.BitmapHunter)	20247	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/picasso-ngt-post/src/src/main/java/com/squareup/picasso3/Picasso.java	PARAMETER	com.squareup.picasso3.Utils	checkNotNull(T,java.lang.String)	value	0	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/picasso-ngt-post/src/src/main/java/com/squareup/picasso3/Utils.java
PASS_NULLABLE	passing @Nullable parameter 'action.request.memoryPolicy' where @NonNull is required	com.squareup.picasso3.Picasso	resumeAction(com.squareup.picasso3.Action)	20988	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/picasso-ngt-post/src/src/main/java/com/squareup/picasso3/Picasso.java	PARAMETER	com.squareup.picasso3.MemoryPolicy	shouldReadFromMemoryCache(int)	memoryPolicy	0	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/picasso-ngt-post/src/src/main/java/com/squareup/picasso3/MemoryPolicy.java
PASS_NULLABLE	passing @Nullable parameter 'null' where @NonNull is required	com.squareup.picasso3.Picasso	resumeAction(com.squareup.picasso3.Action)	21222	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/picasso-ngt-post/src/src/main/java/com/squareup/picasso3/Picasso.java	PARAMETER	com.squareup.picasso3.Picasso	deliverAction(com.squareup.picasso3.RequestHandler.Result,com.squareup.picasso3.Action,java.lang.Exception)	e	2	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/picasso-ngt-post/src/src/main/java/com/squareup/picasso3/Picasso.java
PASS_NULLABLE	passing @Nullable parameter 'exception.getMessage()' where @NonNull is required	com.squareup.picasso3.Picasso	deliverAction(com.squareup.picasso3.RequestHandler.Result,com.squareup.picasso3.Action,java.lang.Exception)	22325	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/picasso-ngt-post/src/src/main/java/com/squareup/picasso3/Picasso.java	PARAMETER	com.squareup.picasso3.Utils	log(java.lang.String,java.lang.String,java.lang.String,java.lang.String)	extras	3	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/picasso-ngt-post/src/src/main/java/com/squareup/picasso3/Utils.java
METHOD_NO_INIT	initializer method does not guarantee @NonNull field defaultBitmapConfig (line 668) is initialized along all control-flow paths (remember to check for exceptions or early returns).	com.squareup.picasso3.Picasso$Builder	Builder(android.content.Context)	23891	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/picasso-ngt-post/src/src/main/java/com/squareup/picasso3/Picasso.java	null	null	null	null	null	null
