message_type	message	enc_class	enc_member	offset	path	target_kind	target_class	target_method	target_param	target_index	target_path
METHOD_NO_INIT	initializer method does not guarantee @NonNull field row (line 39) is initialized along all control-flow paths (remember to check for exceptions or early returns).	org.spacious_team.table_wrapper.api.MutableTableRow	MutableTableRow(org.spacious_team.table_wrapper.api.Table,org.spacious_team.table_wrapper.api.CellDataAccessObject)	4115	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/table_api-ngt-pre/src/src/main/java/org/spacious_team/table_wrapper/api/MutableTableRow.java	null	null	null	null	null	null
WRONG_OVERRIDE_PARAM	parameter column is @NonNull, but parameter in superclass method org.spacious_team.table_wrapper.api.TableRow.getCell(org.spacious_team.table_wrapper.api.TableColumnDescription) is @Nullable	org.spacious_team.table_wrapper.api.MutableTableRow	getCell(org.spacious_team.table_wrapper.api.TableColumnDescription)	1580	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/table_api-ngt-pre/src/src/main/java/org/spacious_team/table_wrapper/api/MutableTableRow.java	PARAMETER	org.spacious_team.table_wrapper.api.MutableTableRow	getCell(org.spacious_team.table_wrapper.api.TableColumnDescription)	column	0	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/table_api-ngt-pre/src/src/main/java/org/spacious_team/table_wrapper/api/MutableTableRow.java
WRONG_OVERRIDE_PARAM	parameter i is @NonNull, but parameter in superclass method org.spacious_team.table_wrapper.api.ReportPageRow.getCell(int) is @Nullable	org.spacious_team.table_wrapper.api.MutableTableRow	getCell(int)	1695	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/table_api-ngt-pre/src/src/main/java/org/spacious_team/table_wrapper/api/MutableTableRow.java	PARAMETER	org.spacious_team.table_wrapper.api.MutableTableRow	getCell(int)	i	0	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/table_api-ngt-pre/src/src/main/java/org/spacious_team/table_wrapper/api/MutableTableRow.java
WRONG_OVERRIDE_PARAM	parameter expected is @NonNull, but parameter in superclass method org.spacious_team.table_wrapper.api.ReportPageRow.rowContains(java.lang.Object) is @Nullable	org.spacious_team.table_wrapper.api.MutableTableRow	rowContains(java.lang.Object)	2053	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/table_api-ngt-pre/src/src/main/java/org/spacious_team/table_wrapper/api/MutableTableRow.java	PARAMETER	org.spacious_team.table_wrapper.api.MutableTableRow	rowContains(java.lang.Object)	expected	0	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/table_api-ngt-pre/src/src/main/java/org/spacious_team/table_wrapper/api/MutableTableRow.java
WRONG_OVERRIDE_PARAM	parameter column is @NonNull, but parameter in superclass method org.spacious_team.table_wrapper.api.TableRow.getCellValue(org.spacious_team.table_wrapper.api.TableColumnDescription) is @Nullable	org.spacious_team.table_wrapper.api.MutableTableRow	getCellValue(org.spacious_team.table_wrapper.api.TableColumnDescription)	2262	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/table_api-ngt-pre/src/src/main/java/org/spacious_team/table_wrapper/api/MutableTableRow.java	PARAMETER	org.spacious_team.table_wrapper.api.MutableTableRow	getCellValue(org.spacious_team.table_wrapper.api.TableColumnDescription)	column	0	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/table_api-ngt-pre/src/src/main/java/org/spacious_team/table_wrapper/api/MutableTableRow.java
RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	org.spacious_team.table_wrapper.api.MutableTableRow	getCellValue(org.spacious_team.table_wrapper.api.TableColumnDescription)	2330	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/table_api-ngt-pre/src/src/main/java/org/spacious_team/table_wrapper/api/MutableTableRow.java	METHOD	org.spacious_team.table_wrapper.api.MutableTableRow	getCellValue(org.spacious_team.table_wrapper.api.TableColumnDescription)	null	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/table_api-ngt-pre/src/src/main/java/org/spacious_team/table_wrapper/api/MutableTableRow.java
WRONG_OVERRIDE_PARAM	parameter column is @NonNull, but parameter in superclass method org.spacious_team.table_wrapper.api.TableRow.getIntCellValue(org.spacious_team.table_wrapper.api.TableColumnDescription) is @Nullable	org.spacious_team.table_wrapper.api.MutableTableRow	getIntCellValue(org.spacious_team.table_wrapper.api.TableColumnDescription)	2389	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/table_api-ngt-pre/src/src/main/java/org/spacious_team/table_wrapper/api/MutableTableRow.java	PARAMETER	org.spacious_team.table_wrapper.api.MutableTableRow	getIntCellValue(org.spacious_team.table_wrapper.api.TableColumnDescription)	column	0	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/table_api-ngt-pre/src/src/main/java/org/spacious_team/table_wrapper/api/MutableTableRow.java
WRONG_OVERRIDE_PARAM	parameter column is @NonNull, but parameter in superclass method org.spacious_team.table_wrapper.api.TableRow.getLongCellValue(org.spacious_team.table_wrapper.api.TableColumnDescription) is @Nullable	org.spacious_team.table_wrapper.api.MutableTableRow	getLongCellValue(org.spacious_team.table_wrapper.api.TableColumnDescription)	2519	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/table_api-ngt-pre/src/src/main/java/org/spacious_team/table_wrapper/api/MutableTableRow.java	PARAMETER	org.spacious_team.table_wrapper.api.MutableTableRow	getLongCellValue(org.spacious_team.table_wrapper.api.TableColumnDescription)	column	0	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/table_api-ngt-pre/src/src/main/java/org/spacious_team/table_wrapper/api/MutableTableRow.java
WRONG_OVERRIDE_PARAM	parameter column is @NonNull, but parameter in superclass method org.spacious_team.table_wrapper.api.TableRow.getDoubleCellValue(org.spacious_team.table_wrapper.api.TableColumnDescription) is @Nullable	org.spacious_team.table_wrapper.api.MutableTableRow	getDoubleCellValue(org.spacious_team.table_wrapper.api.TableColumnDescription)	2652	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/table_api-ngt-pre/src/src/main/java/org/spacious_team/table_wrapper/api/MutableTableRow.java	PARAMETER	org.spacious_team.table_wrapper.api.MutableTableRow	getDoubleCellValue(org.spacious_team.table_wrapper.api.TableColumnDescription)	column	0	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/table_api-ngt-pre/src/src/main/java/org/spacious_team/table_wrapper/api/MutableTableRow.java
WRONG_OVERRIDE_PARAM	parameter column is @NonNull, but parameter in superclass method org.spacious_team.table_wrapper.api.TableRow.getBigDecimalCellValue(org.spacious_team.table_wrapper.api.TableColumnDescription) is @Nullable	org.spacious_team.table_wrapper.api.MutableTableRow	getBigDecimalCellValue(org.spacious_team.table_wrapper.api.TableColumnDescription)	2791	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/table_api-ngt-pre/src/src/main/java/org/spacious_team/table_wrapper/api/MutableTableRow.java	PARAMETER	org.spacious_team.table_wrapper.api.MutableTableRow	getBigDecimalCellValue(org.spacious_team.table_wrapper.api.TableColumnDescription)	column	0	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/table_api-ngt-pre/src/src/main/java/org/spacious_team/table_wrapper/api/MutableTableRow.java
